Ubicazione
VIA ALGAROTTI FRANCESCO N. 4 ; (z.d. 9)
VIA ALSERIO N. 1 ; (z.d. 9)
VIA ALSERIO N. 3 ; (z.d. 9)
VIA ALTAMURA SAVERIO N. 17 (z.d. 7)
VIA ALTAMURA SAVERIO N. 17 ; (z.d. 7)
VIA ALTAMURA SAVERIO N. 7 ; (z.d. 5)
VIA AMADEO GIAN ANTONIO N. 24 ; (z.d. 3)
VIA AMADEO GIAN ANTONIO N. 27 (z.d. 3)
VIA AMADEO GIAN ANTONIO N. 28 ; (z.d. 3)
VIA AMADEO GIAN ANTONIO N. 35 ; (z.d. 3)
